,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,19149.0,28.0,743.0,42.0,69.0,88.0,0.0,0,5.0,5.0,20129,0.95,0.05
Shrubland,74.0,31.0,17.0,74.0,100.0,15.0,0.0,0,13.0,2.0,326,0.1,0.9
Flooded Forest,137.0,2.0,163.0,45.0,7.0,0.0,0.0,0,0.0,17.0,371,0.44,0.56
Wetland,8.0,0.0,29.0,134.0,21.0,0.0,0.0,0,0.0,37.0,229,0.59,0.41
Natural Grassland,23.0,9.0,24.0,262.0,446.0,7.0,0.0,0,5.0,11.0,787,0.57,0.43
Pastureland,515.0,22.0,27.0,28.0,64.0,1056.0,3.0,0,2.0,1.0,1718,0.61,0.39
Cropland,7.0,0.0,0.0,2.0,4.0,9.0,3.0,0,0.0,0.0,25,0.12,0.88
Bareland and Impervious,1.0,1.0,0.0,7.0,11.0,17.0,0.0,0,0.0,3.0,40,0.0,1.0
Rock Outcrop,15.0,2.0,0.0,0.0,11.0,0.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,13.0,0.0,4.0,9.0,5.0,2.0,0.0,0,0.0,333.0,366,0.91,0.09
Total,19942.0,95.0,1007.0,603.0,738.0,1194.0,6.0,0,31.0,410.0,24026,,
Accuracy Producer,0.96,0.33,0.16,0.22,0.6,0.88,0.5,0,0.19,0.81,,,
Omission Error,0.04,0.67,0.84,0.78,0.4,0.12,0.5,0,0.81,0.19,,,
