,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17955.0,23.0,739.0,36.0,63.0,147.0,1.0,0,5.0,1.0,18970,0.95,0.05
Shrubland,53.0,32.0,16.0,67.0,102.0,20.0,0.0,0,13.0,0.0,303,0.11,0.89
Flooded Forest,139.0,2.0,160.0,44.0,10.0,5.0,0.0,0,0.0,10.0,370,0.43,0.57
Wetland,6.0,4.0,23.0,133.0,33.0,2.0,0.0,0,0.0,29.0,230,0.58,0.42
Natural Grassland,18.0,8.0,23.0,262.0,445.0,8.0,0.0,0,5.0,10.0,779,0.57,0.43
Pastureland,398.0,21.0,26.0,27.0,69.0,2297.0,7.0,0,2.0,1.0,2848,0.81,0.19
Cropland,6.0,1.0,0.0,0.0,9.0,38.0,25.0,0,0.0,0.0,79,0.32,0.68
Bareland and Impervious,4.0,2.0,0.0,8.0,15.0,19.0,0.0,0,0.0,1.0,49,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,10.0,1.0,5.0,11.0,5.0,0.0,0.0,0,0.0,342.0,374,0.91,0.09
Total,18604.0,95.0,992.0,588.0,762.0,2537.0,33.0,0,31.0,395.0,24037,,
Accuracy Producer,0.97,0.34,0.16,0.23,0.58,0.91,0.76,0,0.19,0.87,,,
Omission Error,0.03,0.66,0.84,0.77,0.42,0.09,0.24,0,0.81,0.13,,,
