,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.07,0.14,3.7,0.21,0.34,0.5,0.0,0.0,0.03,0.02
Shrubland,20.19,8.83,4.73,25.24,30.91,4.73,0.0,0.0,4.1,1.26
Flooded Forest,36.66,0.27,43.4,12.4,1.89,0.54,0.0,0.0,0.0,4.85
Wetland,3.48,0.0,13.04,53.04,13.04,0.0,0.0,0.0,0.0,17.39
Natural Grassland,3.06,0.89,3.06,32.36,56.31,0.64,0.0,0.0,0.64,3.06
Pastureland,24.91,1.1,1.6,1.65,3.15,67.4,0.05,0.0,0.1,0.05
Cropland,20.0,3.33,0.0,6.67,13.33,50.0,6.67,0.0,0.0,0.0
Bareland and Impervious,7.14,2.38,0.0,14.29,30.95,35.71,0.0,0.0,0.0,9.52
Rock Outcrop,45.71,0.0,0.0,2.86,31.43,0.0,0.0,0.0,17.14,2.86
Water,3.78,0.0,1.35,2.43,1.35,0.0,0.0,0.0,0.0,91.08
