,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,17832.0,22.0,739.0,35.0,64.0,135.0,0.0,0,5.0,2.0,18834,0.95,0.05
Shrubland,54.0,32.0,15.0,64.0,104.0,17.0,0.0,0,13.0,0.0,299,0.11,0.89
Flooded Forest,140.0,2.0,164.0,41.0,10.0,3.0,0.0,0,0.0,10.0,370,0.44,0.56
Wetland,8.0,4.0,22.0,134.0,36.0,3.0,0.0,0,0.0,23.0,230,0.58,0.42
Natural Grassland,19.0,7.0,26.0,251.0,454.0,7.0,0.0,0,5.0,10.0,779,0.58,0.42
Pastureland,448.0,24.0,31.0,28.0,69.0,2354.0,7.0,0,2.0,1.0,2964,0.79,0.21
Cropland,8.0,1.0,0.0,3.0,9.0,49.0,23.0,0,0.0,0.0,93,0.25,0.75
Bareland and Impervious,4.0,2.0,0.0,8.0,15.0,19.0,0.0,0,0.0,1.0,49,0.0,1.0
Rock Outcrop,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,12.0,1.0,5.0,7.0,4.0,1.0,0.0,0,0.0,343.0,373,0.92,0.08
Total,18540.0,96.0,1002.0,571.0,776.0,2589.0,30.0,0,31.0,391.0,24026,,
Accuracy Producer,0.96,0.33,0.16,0.23,0.59,0.91,0.77,0,0.19,0.88,,,
Omission Error,0.04,0.67,0.84,0.77,0.41,0.09,0.23,0,0.81,0.12,,,
