,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.57,0.1,4.01,0.22,0.33,0.72,0.0,0.0,0.03,0.01
Shrubland,18.21,9.97,4.81,23.02,34.02,5.15,0.34,0.0,4.47,0.0
Flooded Forest,38.11,0.81,43.78,11.62,2.43,0.54,0.0,0.0,0.0,2.7
Wetland,3.49,1.31,11.35,60.7,13.1,0.87,0.0,0.0,0.0,9.17
Natural Grassland,2.19,1.03,3.48,33.29,57.29,0.77,0.13,0.0,0.65,1.16
Pastureland,12.91,0.71,0.77,0.83,2.07,81.45,1.18,0.0,0.06,0.03
Cropland,8.19,0.58,0.0,2.92,7.02,29.82,51.46,0.0,0.0,0.0
Bareland and Impervious,3.92,5.88,0.0,9.8,31.37,45.1,0.0,0.0,0.0,3.92
Rock Outcrop,42.86,0.0,0.0,2.86,31.43,2.86,0.0,0.0,17.14,2.86
Water,2.92,0.27,1.33,1.86,2.12,0.27,0.0,0.0,0.0,91.25
