,year,value,metrics,classe
83,1993,0.53,Accuracy User,Wetland
84,1993,0.56,Accuracy User,Natural Grassland
85,1993,0.67,Accuracy User,Pastureland
86,1993,0.07,Accuracy User,Cropland
87,1993,0.0,Accuracy User,Bareland and Impervious
88,1993,0.17,Accuracy User,Rock Outcrop
89,1993,0.91,Accuracy User,Water
90,1994,0.95,Accuracy User,Forest
91,1994,0.09,Accuracy User,Shrubland
92,1994,0.44,Accuracy User,Flooded Forest
93,1994,0.54,Accuracy User,Wetland
94,1994,0.55,Accuracy User,Natural Grassland
95,1994,0.69,Accuracy User,Pastureland
96,1994,0.06,Accuracy User,Cropland
97,1994,0.0,Accuracy User,Bareland and Impervious
98,1994,0.17,Accuracy User,Rock Outcrop
99,1994,0.91,Accuracy User,Water
100,1995,0.95,Accuracy User,Forest
101,1995,0.09,Accuracy User,Shrubland
102,1995,0.43,Accuracy User,Flooded Forest
103,1995,0.53,Accuracy User,Wetland
104,1995,0.55,Accuracy User,Natural Grassland
105,1995,0.71,Accuracy User,Pastureland
106,1995,0.03,Accuracy User,Cropland
107,1995,0.0,Accuracy User,Bareland and Impervious
108,1995,0.17,Accuracy User,Rock Outcrop
109,1995,0.91,Accuracy User,Water
110,1996,0.95,Accuracy User,Forest
111,1996,0.09,Accuracy User,Shrubland
112,1996,0.44,Accuracy User,Flooded Forest
113,1996,0.5,Accuracy User,Wetland
114,1996,0.55,Accuracy User,Natural Grassland
115,1996,0.74,Accuracy User,Pastureland
116,1996,0.07,Accuracy User,Cropland
117,1996,0.0,Accuracy User,Bareland and Impervious
118,1996,0.17,Accuracy User,Rock Outcrop
119,1996,0.9,Accuracy User,Water
120,1997,0.95,Accuracy User,Forest
121,1997,0.1,Accuracy User,Shrubland
122,1997,0.43,Accuracy User,Flooded Forest
123,1997,0.52,Accuracy User,Wetland
124,1997,0.56,Accuracy User,Natural Grassland
125,1997,0.75,Accuracy User,Pastureland
126,1997,0.13,Accuracy User,Cropland
127,1997,0.0,Accuracy User,Bareland and Impervious
128,1997,0.17,Accuracy User,Rock Outcrop
129,1997,0.91,Accuracy User,Water
130,1998,0.95,Accuracy User,Forest
131,1998,0.1,Accuracy User,Shrubland
132,1998,0.44,Accuracy User,Flooded Forest
133,1998,0.52,Accuracy User,Wetland
134,1998,0.55,Accuracy User,Natural Grassland
135,1998,0.78,Accuracy User,Pastureland
136,1998,0.15,Accuracy User,Cropland
137,1998,0.0,Accuracy User,Bareland and Impervious
138,1998,0.17,Accuracy User,Rock Outcrop
139,1998,0.9,Accuracy User,Water
140,1999,0.95,Accuracy User,Forest
141,1999,0.1,Accuracy User,Shrubland
142,1999,0.44,Accuracy User,Flooded Forest
143,1999,0.49,Accuracy User,Wetland
144,1999,0.54,Accuracy User,Natural Grassland
145,1999,0.8,Accuracy User,Pastureland
146,1999,0.23,Accuracy User,Cropland
147,1999,0.0,Accuracy User,Bareland and Impervious
148,1999,0.17,Accuracy User,Rock Outcrop
149,1999,0.92,Accuracy User,Water
150,2000,0.95,Accuracy User,Forest
151,2000,0.11,Accuracy User,Shrubland
152,2000,0.44,Accuracy User,Flooded Forest
153,2000,0.56,Accuracy User,Wetland
154,2000,0.56,Accuracy User,Natural Grassland
155,2000,0.8,Accuracy User,Pastureland
156,2000,0.28,Accuracy User,Cropland
157,2000,0.0,Accuracy User,Bareland and Impervious
158,2000,0.17,Accuracy User,Rock Outcrop
159,2000,0.91,Accuracy User,Water
160,2001,0.95,Accuracy User,Forest
161,2001,0.11,Accuracy User,Shrubland
162,2001,0.43,Accuracy User,Flooded Forest
163,2001,0.58,Accuracy User,Wetland
164,2001,0.57,Accuracy User,Natural Grassland
165,2001,0.81,Accuracy User,Pastureland
166,2001,0.32,Accuracy User,Cropland
167,2001,0.0,Accuracy User,Bareland and Impervious
168,2001,0.17,Accuracy User,Rock Outcrop
169,2001,0.91,Accuracy User,Water
170,2002,0.95,Accuracy User,Forest
171,2002,0.11,Accuracy User,Shrubland
172,2002,0.44,Accuracy User,Flooded Forest
173,2002,0.58,Accuracy User,Wetland
174,2002,0.58,Accuracy User,Natural Grassland
175,2002,0.79,Accuracy User,Pastureland
176,2002,0.25,Accuracy User,Cropland
177,2002,0.0,Accuracy User,Bareland and Impervious
178,2002,0.17,Accuracy User,Rock Outcrop
179,2002,0.92,Accuracy User,Water
180,2003,0.95,Accuracy User,Forest
181,2003,0.12,Accuracy User,Shrubland
182,2003,0.44,Accuracy User,Flooded Forest
183,2003,0.62,Accuracy User,Wetland
184,2003,0.57,Accuracy User,Natural Grassland
185,2003,0.81,Accuracy User,Pastureland
186,2003,0.31,Accuracy User,Cropland
187,2003,0.0,Accuracy User,Bareland and Impervious
188,2003,0.17,Accuracy User,Rock Outcrop
189,2003,0.91,Accuracy User,Water
190,2004,0.94,Accuracy User,Forest
191,2004,0.11,Accuracy User,Shrubland
192,2004,0.44,Accuracy User,Flooded Forest
193,2004,0.62,Accuracy User,Wetland
194,2004,0.57,Accuracy User,Natural Grassland
195,2004,0.81,Accuracy User,Pastureland
196,2004,0.41,Accuracy User,Cropland
197,2004,0.0,Accuracy User,Bareland and Impervious
198,2004,0.17,Accuracy User,Rock Outcrop
199,2004,0.92,Accuracy User,Water
200,2005,0.95,Accuracy User,Forest
201,2005,0.1,Accuracy User,Shrubland
202,2005,0.44,Accuracy User,Flooded Forest
203,2005,0.61,Accuracy User,Wetland
204,2005,0.57,Accuracy User,Natural Grassland
205,2005,0.81,Accuracy User,Pastureland
206,2005,0.51,Accuracy User,Cropland
207,2005,0.0,Accuracy User,Bareland and Impervious
208,2005,0.17,Accuracy User,Rock Outcrop
209,2005,0.91,Accuracy User,Water
210,2006,0.95,Accuracy User,Forest
211,2006,0.1,Accuracy User,Shrubland
212,2006,0.44,Accuracy User,Flooded Forest
213,2006,0.58,Accuracy User,Wetland
214,2006,0.58,Accuracy User,Natural Grassland
215,2006,0.82,Accuracy User,Pastureland
216,2006,0.53,Accuracy User,Cropland
217,2006,0.0,Accuracy User,Bareland and Impervious
218,2006,0.17,Accuracy User,Rock Outcrop
219,2006,0.91,Accuracy User,Water
220,2007,0.94,Accuracy User,Forest
221,2007,0.1,Accuracy User,Shrubland
222,2007,0.45,Accuracy User,Flooded Forest
223,2007,0.6,Accuracy User,Wetland
224,2007,0.57,Accuracy User,Natural Grassland
225,2007,0.83,Accuracy User,Pastureland
226,2007,0.53,Accuracy User,Cropland
227,2007,0.0,Accuracy User,Bareland and Impervious
228,2007,0.17,Accuracy User,Rock Outcrop
229,2007,0.93,Accuracy User,Water
230,2008,0.94,Accuracy User,Forest
231,2008,0.11,Accuracy User,Shrubland
232,2008,0.44,Accuracy User,Flooded Forest
233,2008,0.6,Accuracy User,Wetland
234,2008,0.57,Accuracy User,Natural Grassland
235,2008,0.84,Accuracy User,Pastureland
236,2008,0.59,Accuracy User,Cropland
237,2008,0.0,Accuracy User,Bareland and Impervious
238,2008,0.17,Accuracy User,Rock Outcrop
239,2008,0.92,Accuracy User,Water
240,2009,0.94,Accuracy User,Forest
241,2009,0.11,Accuracy User,Shrubland
242,2009,0.45,Accuracy User,Flooded Forest
243,2009,0.6,Accuracy User,Wetland
244,2009,0.58,Accuracy User,Natural Grassland
245,2009,0.84,Accuracy User,Pastureland
246,2009,0.62,Accuracy User,Cropland
247,2009,0.0,Accuracy User,Bareland and Impervious
248,2009,0.18,Accuracy User,Rock Outcrop
249,2009,0.92,Accuracy User,Water
250,2010,0.94,Accuracy User,Forest
251,2010,0.11,Accuracy User,Shrubland
252,2010,0.44,Accuracy User,Flooded Forest
253,2010,0.6,Accuracy User,Wetland
254,2010,0.56,Accuracy User,Natural Grassland
255,2010,0.84,Accuracy User,Pastureland
256,2010,0.6,Accuracy User,Cropland
