,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.09,0.33,0.09,0.33,0.15,0.91,0.67
Flooded Forest,0.44,0.16,0.44,0.16,0.24,0.56,0.84
Wetland,0.58,0.21,0.58,0.21,0.31,0.42,0.79
Natural Grassland,0.55,0.59,0.55,0.59,0.57,0.45,0.41
Pastureland,0.62,0.88,0.62,0.88,0.73,0.38,0.12
Cropland,0.09,0.4,0.09,0.4,0.14,0.91,0.6
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.82,0.91,0.82,0.86,0.09,0.18
