,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,95.02,0.13,3.76,0.21,0.33,0.51,0.0,0.0,0.03,0.02
Shrubland,18.63,10.13,5.56,23.2,33.01,3.92,0.0,0.0,4.25,1.31
Flooded Forest,36.93,0.81,43.13,10.78,2.7,0.54,0.0,0.0,0.0,5.12
Wetland,2.63,1.75,11.4,52.19,10.53,0.44,0.0,0.0,0.0,21.05
Natural Grassland,2.7,1.03,3.22,32.43,56.24,1.03,0.0,0.0,0.64,2.7
Pastureland,18.33,0.94,1.18,1.51,2.85,74.91,0.12,0.0,0.08,0.08
Cropland,17.78,4.44,0.0,4.44,17.78,42.22,13.33,0.0,0.0,0.0
Bareland and Impervious,10.2,2.04,0.0,16.33,26.53,40.82,0.0,0.0,0.0,4.08
Rock Outcrop,40.0,0.0,0.0,2.86,31.43,5.71,0.0,0.0,17.14,2.86
Water,3.2,0.0,1.33,2.4,1.33,0.53,0.0,0.0,0.0,91.2
