,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.61,0.12,3.97,0.2,0.34,0.72,0.0,0.0,0.03,0.01
Shrubland,17.91,11.82,5.07,20.61,34.8,5.41,0.0,0.0,4.39,0.0
Flooded Forest,38.11,0.54,43.51,11.89,2.7,0.81,0.0,0.0,0.0,2.43
Wetland,3.48,2.61,8.26,61.74,14.78,1.3,0.0,0.0,0.0,7.83
Natural Grassland,2.31,1.03,3.47,34.45,56.68,0.77,0.13,0.0,0.64,0.51
Pastureland,13.94,0.74,0.8,0.96,2.24,80.58,0.64,0.0,0.06,0.03
Cropland,8.94,0.81,0.81,2.44,8.13,47.97,30.89,0.0,0.0,0.0
Bareland and Impervious,10.0,2.0,0.0,18.0,26.0,38.0,0.0,0.0,0.0,6.0
Rock Outcrop,42.86,0.0,0.0,2.86,31.43,2.86,0.0,0.0,17.14,2.86
Water,3.23,0.27,1.34,2.15,1.34,0.27,0.0,0.0,0.0,91.4
