,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17497,22,79,75,125,1,6,17805
Shrubland,60,37,48,103,16,0,0,264
Wetland,32,7,129,40,4,0,19,231
Natural Grassland,35,9,166,490,8,0,0,708
Pastureland,397,26,9,83,3042,52,1,3610
Cropland,29,3,1,18,98,299,0,448
Water,16,1,15,4,4,0,344,384
Total,18066,105,447,813,3297,352,370,23450
