,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.12,0.1,0.48,0.41,0.83,0.0,0.05
Shrubland,24.26,11.76,22.43,36.76,4.78,0.0,0.0
Wetland,14.85,2.18,62.01,10.04,0.0,0.44,10.48
Natural Grassland,5.67,1.05,35.84,55.34,0.79,0.0,1.32
Pastureland,11.51,0.59,1.05,2.04,83.4,1.36,0.06
Cropland,7.01,0.37,3.32,4.43,23.62,61.25,0.0
Water,4.81,0.27,1.6,1.6,0.27,0.0,91.44
