,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18258,21,86,71,136,0,10,18582
Shrubland,66,29,67,99,15,1,0,277
Wetland,36,4,132,33,2,0,22,229
Natural Grassland,43,7,248,450,7,0,10,765
Pastureland,444,24,26,71,2838,38,1,3442
Cropland,14,1,5,14,52,98,0,184
Water,15,1,9,6,1,0,343,375
Total,18876,87,573,744,3051,137,386,23854
