,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.15,0.37,0.15,0.37,0.22,0.85,0.63
Wetland,0.56,0.27,0.56,0.27,0.36,0.44,0.73
Natural Grassland,0.65,0.6,0.65,0.6,0.62,0.35,0.4
Pastureland,0.83,0.92,0.83,0.92,0.88,0.17,0.08
Cropland,0.68,0.84,0.68,0.84,0.75,0.32,0.16
Water,0.9,0.91,0.9,0.91,0.91,0.1,0.09
