,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.99,0.96,0.99,0.96,0.97,0.01,0.04
Shrubland,0.09,0.33,0.09,0.33,0.15,0.91,0.67
Wetland,0.54,0.21,0.54,0.21,0.3,0.46,0.79
Natural Grassland,0.55,0.6,0.55,0.6,0.58,0.45,0.4
Pastureland,0.69,0.92,0.69,0.92,0.79,0.31,0.08
Cropland,0.06,0.25,0.06,0.25,0.1,0.94,0.75
Water,0.91,0.82,0.91,0.82,0.86,0.09,0.18
