,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18993,25,80,73,152,1,11,19335
Shrubland,69,32,67,102,20,0,0,290
Wetland,29,4,133,33,2,0,29,230
Natural Grassland,41,8,262,445,8,0,10,774
Pastureland,424,21,27,69,2297,7,1,2846
Cropland,6,1,0,9,38,25,0,79
Water,15,1,11,5,0,0,342,374
Total,19577,92,580,736,2517,33,393,23928
