,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.23,0.13,0.41,0.38,0.79,0.01,0.06
Shrubland,23.79,11.03,23.1,35.17,6.9,0.0,0.0
Wetland,12.61,1.74,57.83,14.35,0.87,0.0,12.61
Natural Grassland,5.3,1.03,33.85,57.49,1.03,0.0,1.29
Pastureland,14.9,0.74,0.95,2.42,80.71,0.25,0.04
Cropland,7.59,1.27,0.0,11.39,48.1,31.65,0.0
Water,4.01,0.27,2.94,1.34,0.0,0.0,91.44
