,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.24,0.11,0.49,0.38,0.73,0.0,0.05
Shrubland,23.1,10.83,24.91,35.38,5.78,0.0,0.0
Wetland,14.41,1.31,59.83,11.79,0.44,0.0,12.23
Natural Grassland,5.75,0.78,33.2,57.78,0.78,0.0,1.7
Pastureland,12.47,0.55,0.78,1.9,83.4,0.89,0.03
Cropland,8.5,0.5,2.5,6.5,29.0,53.0,0.0
Water,3.74,0.27,1.87,1.34,0.27,0.0,92.51
