,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.99,0.96,0.01,0.04
Shrubland,0.1,0.34,0.9,0.66
Wetland,0.59,0.22,0.41,0.78
Natural Grassland,0.57,0.62,0.43,0.38
Pastureland,0.62,0.9,0.38,0.1
Cropland,0.12,0.5,0.88,0.5
Water,0.91,0.82,0.09,0.18
