,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.37,0.14,0.44,0.38,0.56,0.0,0.11
Shrubland,26.86,9.71,25.89,32.36,4.53,0.0,0.65
Wetland,16.09,0.0,53.48,13.48,0.0,0.0,16.96
Natural Grassland,6.13,1.15,30.27,58.37,0.77,0.0,3.32
Pastureland,27.08,1.34,1.55,3.47,66.4,0.16,0.0
Cropland,24.14,3.45,6.9,13.79,44.83,6.9,0.0
Water,5.21,0.0,3.29,0.82,0.27,0.0,90.41
