,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19311,26,79,74,120,0,21,19631
Shrubland,71,32,72,100,15,0,2,292
Wetland,35,4,118,33,1,0,38,229
Natural Grassland,43,9,264,429,9,0,16,770
Pastureland,435,18,35,69,1977,5,0,2539
Cropland,7,2,2,8,28,8,0,55
Water,20,0,13,5,1,0,333,372
Total,19922,91,583,718,2151,13,410,23888
