,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,20365,34,87,78,87,0,21,20672
Shrubland,91,32,71,106,15,0,2,317
Wetland,39,3,131,26,0,0,29,228
Natural Grassland,51,9,277,424,7,0,14,782
Pastureland,460,19,27,60,992,2,1,1561
Cropland,5,0,2,2,11,1,0,21
Water,19,0,11,4,1,0,327,362
Total,21030,97,606,700,1113,3,394,23943
