,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.1,0.33,0.1,0.33,0.16,0.9,0.67
Wetland,0.61,0.24,0.61,0.24,0.34,0.39,0.76
Natural Grassland,0.58,0.61,0.58,0.61,0.59,0.42,0.39
Pastureland,0.81,0.93,0.81,0.93,0.87,0.19,0.07
Cropland,0.51,0.68,0.51,0.68,0.58,0.49,0.32
Water,0.91,0.89,0.91,0.89,0.9,0.09,0.11
