,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19427,28,80,73,101,0,22,19731
Shrubland,74,31,71,101,12,0,4,293
Wetland,32,4,119,24,1,0,48,228
Natural Grassland,46,8,252,437,8,0,21,772
Pastureland,479,23,37,70,1839,3,2,2453
Cropland,8,2,2,8,19,6,0,45
Water,17,0,9,5,2,0,342,375
Total,20083,96,570,718,1982,9,439,23897
