,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.14,0.1,0.47,0.42,0.82,0.0,0.05
Shrubland,22.34,11.36,23.08,37.0,6.23,0.0,0.0
Wetland,14.85,2.18,60.26,12.66,0.44,0.0,9.61
Natural Grassland,5.41,1.19,34.96,56.33,0.66,0.0,1.45
Pastureland,11.24,0.65,1.02,2.01,83.81,1.24,0.03
Cropland,6.43,0.4,2.41,4.42,26.51,59.84,0.0
Water,4.52,0.27,2.13,1.06,0.53,0.0,91.49
