,year,value,metrics,classe
87,1997,0.57,Accuracy User,Natural Grassland
88,1997,0.75,Accuracy User,Pastureland
89,1997,0.13,Accuracy User,Cropland
90,1997,0.91,Accuracy User,Water
91,1998,0.98,Accuracy User,Forest
92,1998,0.11,Accuracy User,Shrubland
93,1998,0.52,Accuracy User,Wetland
94,1998,0.56,Accuracy User,Natural Grassland
95,1998,0.78,Accuracy User,Pastureland
96,1998,0.15,Accuracy User,Cropland
97,1998,0.9,Accuracy User,Water
98,1999,0.98,Accuracy User,Forest
99,1999,0.11,Accuracy User,Shrubland
100,1999,0.49,Accuracy User,Wetland
101,1999,0.55,Accuracy User,Natural Grassland
102,1999,0.8,Accuracy User,Pastureland
103,1999,0.23,Accuracy User,Cropland
104,1999,0.92,Accuracy User,Water
105,2000,0.98,Accuracy User,Forest
106,2000,0.11,Accuracy User,Shrubland
107,2000,0.56,Accuracy User,Wetland
108,2000,0.56,Accuracy User,Natural Grassland
109,2000,0.8,Accuracy User,Pastureland
110,2000,0.28,Accuracy User,Cropland
111,2000,0.91,Accuracy User,Water
112,2001,0.98,Accuracy User,Forest
113,2001,0.11,Accuracy User,Shrubland
114,2001,0.58,Accuracy User,Wetland
115,2001,0.57,Accuracy User,Natural Grassland
116,2001,0.81,Accuracy User,Pastureland
117,2001,0.32,Accuracy User,Cropland
118,2001,0.91,Accuracy User,Water
119,2002,0.98,Accuracy User,Forest
120,2002,0.11,Accuracy User,Shrubland
121,2002,0.58,Accuracy User,Wetland
122,2002,0.59,Accuracy User,Natural Grassland
123,2002,0.79,Accuracy User,Pastureland
124,2002,0.25,Accuracy User,Cropland
125,2002,0.92,Accuracy User,Water
126,2003,0.98,Accuracy User,Forest
127,2003,0.12,Accuracy User,Shrubland
128,2003,0.62,Accuracy User,Wetland
129,2003,0.57,Accuracy User,Natural Grassland
130,2003,0.81,Accuracy User,Pastureland
131,2003,0.31,Accuracy User,Cropland
132,2003,0.91,Accuracy User,Water
133,2004,0.98,Accuracy User,Forest
134,2004,0.11,Accuracy User,Shrubland
135,2004,0.62,Accuracy User,Wetland
136,2004,0.58,Accuracy User,Natural Grassland
137,2004,0.81,Accuracy User,Pastureland
138,2004,0.41,Accuracy User,Cropland
139,2004,0.92,Accuracy User,Water
140,2005,0.98,Accuracy User,Forest
141,2005,0.1,Accuracy User,Shrubland
142,2005,0.61,Accuracy User,Wetland
143,2005,0.58,Accuracy User,Natural Grassland
144,2005,0.81,Accuracy User,Pastureland
145,2005,0.51,Accuracy User,Cropland
146,2005,0.91,Accuracy User,Water
147,2006,0.98,Accuracy User,Forest
148,2006,0.1,Accuracy User,Shrubland
149,2006,0.58,Accuracy User,Wetland
150,2006,0.59,Accuracy User,Natural Grassland
151,2006,0.82,Accuracy User,Pastureland
152,2006,0.53,Accuracy User,Cropland
153,2006,0.91,Accuracy User,Water
154,2007,0.98,Accuracy User,Forest
155,2007,0.11,Accuracy User,Shrubland
156,2007,0.6,Accuracy User,Wetland
157,2007,0.58,Accuracy User,Natural Grassland
158,2007,0.83,Accuracy User,Pastureland
159,2007,0.53,Accuracy User,Cropland
160,2007,0.93,Accuracy User,Water
161,2008,0.98,Accuracy User,Forest
162,2008,0.12,Accuracy User,Shrubland
163,2008,0.6,Accuracy User,Wetland
164,2008,0.57,Accuracy User,Natural Grassland
165,2008,0.84,Accuracy User,Pastureland
166,2008,0.59,Accuracy User,Cropland
167,2008,0.92,Accuracy User,Water
168,2009,0.98,Accuracy User,Forest
169,2009,0.12,Accuracy User,Shrubland
170,2009,0.6,Accuracy User,Wetland
171,2009,0.58,Accuracy User,Natural Grassland
172,2009,0.84,Accuracy User,Pastureland
173,2009,0.62,Accuracy User,Cropland
174,2009,0.92,Accuracy User,Water
175,2010,0.98,Accuracy User,Forest
176,2010,0.11,Accuracy User,Shrubland
177,2010,0.6,Accuracy User,Wetland
178,2010,0.56,Accuracy User,Natural Grassland
179,2010,0.84,Accuracy User,Pastureland
180,2010,0.6,Accuracy User,Cropland
181,2010,0.91,Accuracy User,Water
182,2011,0.98,Accuracy User,Forest
183,2011,0.12,Accuracy User,Shrubland
184,2011,0.62,Accuracy User,Wetland
185,2011,0.55,Accuracy User,Natural Grassland
186,2011,0.83,Accuracy User,Pastureland
187,2011,0.61,Accuracy User,Cropland
188,2011,0.91,Accuracy User,Water
189,2012,0.98,Accuracy User,Forest
190,2012,0.12,Accuracy User,Shrubland
191,2012,0.55,Accuracy User,Wetland
192,2012,0.58,Accuracy User,Natural Grassland
193,2012,0.84,Accuracy User,Pastureland
194,2012,0.64,Accuracy User,Cropland
195,2012,0.92,Accuracy User,Water
196,2013,0.98,Accuracy User,Forest
197,2013,0.15,Accuracy User,Shrubland
198,2013,0.57,Accuracy User,Wetland
199,2013,0.63,Accuracy User,Natural Grassland
200,2013,0.83,Accuracy User,Pastureland
201,2013,0.67,Accuracy User,Cropland
202,2013,0.92,Accuracy User,Water
203,2014,0.98,Accuracy User,Forest
204,2014,0.15,Accuracy User,Shrubland
205,2014,0.56,Accuracy User,Wetland
206,2014,0.65,Accuracy User,Natural Grassland
207,2014,0.83,Accuracy User,Pastureland
208,2014,0.68,Accuracy User,Cropland
209,2014,0.9,Accuracy User,Water
210,2015,0.98,Accuracy User,Forest
211,2015,0.15,Accuracy User,Shrubland
212,2015,0.55,Accuracy User,Wetland
213,2015,0.66,Accuracy User,Natural Grassland
214,2015,0.84,Accuracy User,Pastureland
215,2015,0.68,Accuracy User,Cropland
216,2015,0.91,Accuracy User,Water
217,2016,0.98,Accuracy User,Forest
218,2016,0.14,Accuracy User,Shrubland
219,2016,0.56,Accuracy User,Wetland
220,2016,0.68,Accuracy User,Natural Grassland
221,2016,0.84,Accuracy User,Pastureland
222,2016,0.67,Accuracy User,Cropland
223,2016,0.9,Accuracy User,Water
224,2017,0.98,Accuracy User,Forest
225,2017,0.14,Accuracy User,Shrubland
226,2017,0.56,Accuracy User,Wetland
227,2017,0.69,Accuracy User,Natural Grassland
228,2017,0.84,Accuracy User,Pastureland
229,2017,0.67,Accuracy User,Cropland
230,2017,0.9,Accuracy User,Water
231,2018,0.98,Accuracy User,Forest
232,2018,0.13,Accuracy User,Shrubland
233,2018,0.58,Accuracy User,Wetland
234,2018,0.71,Accuracy User,Natural Grassland
235,2018,0.84,Accuracy User,Pastureland
236,2018,0.68,Accuracy User,Cropland
237,2018,0.9,Accuracy User,Water
238,2019,0.98,Accuracy User,Forest
239,2019,0.12,Accuracy User,Shrubland
240,2019,0.64,Accuracy User,Wetland
241,2019,0.69,Accuracy User,Natural Grassland
242,2019,0.85,Accuracy User,Pastureland
243,2019,0.6,Accuracy User,Cropland
244,2019,0.89,Accuracy User,Water
245,2020,0.98,Accuracy User,Forest
246,2020,0.12,Accuracy User,Shrubland
247,2020,0.64,Accuracy User,Wetland
248,2020,0.67,Accuracy User,Natural Grassland
249,2020,0.86,Accuracy User,Pastureland
250,2020,0.61,Accuracy User,Cropland
251,2020,0.89,Accuracy User,Water
252,2021,0.98,Accuracy User,Forest
253,2021,0.13,Accuracy User,Shrubland
254,2021,0.63,Accuracy User,Wetland
255,2021,0.66,Accuracy User,Natural Grassland
256,2021,0.86,Accuracy User,Pastureland
257,2021,0.61,Accuracy User,Cropland
258,2021,0.9,Accuracy User,Water
259,1985,0.97,Accuracy Producer,Forest
260,1985,0.33,Accuracy Producer,Shrubland
261,1985,0.26,Accuracy Producer,Wetland
262,1985,0.6,Accuracy Producer,Natural Grassland
263,1985,0.84,Accuracy Producer,Pastureland
264,1985,0.14,Accuracy Producer,Cropland
