,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,20192,30,87,76,88,0,22,20495
Shrubland,91,31,74,100,15,0,2,313
Wetland,37,0,134,21,0,0,37,229
Natural Grassland,47,9,262,446,7,0,11,782
Pastureland,542,22,28,64,1056,3,1,1716
Cropland,7,0,2,4,9,3,0,25
Water,17,0,9,5,2,0,333,366
Total,20933,92,596,716,1177,6,406,23926
