,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.28,0.12,0.45,0.38,0.71,0.0,0.06
Shrubland,24.1,10.43,24.1,35.61,5.4,0.36,0.0
Wetland,14.85,1.31,60.7,13.1,0.87,0.0,9.17
Natural Grassland,5.71,1.04,33.51,57.66,0.78,0.13,1.17
Pastureland,13.69,0.71,0.83,2.07,81.5,1.18,0.03
Cropland,8.19,0.58,2.92,7.02,29.82,51.46,0.0
Water,4.24,0.27,1.86,2.12,0.27,0.0,91.25
