,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19113,25,75,76,145,0,12,19446
Shrubland,70,32,69,101,18,0,0,290
Wetland,32,4,129,34,2,0,29,230
Natural Grassland,41,9,271,437,9,0,9,776
Pastureland,427,19,31,66,2184,9,1,2737
Cropland,8,1,0,8,31,19,0,67
Water,16,1,9,6,1,0,337,370
Total,19707,91,584,728,2390,28,388,23916
