,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19789,28,85,74,86,0,18,20080
Shrubland,80,28,77,100,13,0,2,300
Wetland,36,0,125,33,1,0,35,230
Natural Grassland,48,7,272,429,6,0,19,781
Pastureland,539,20,34,66,1460,6,1,2126
Cropland,9,1,0,4,15,2,0,31
Water,20,0,10,5,0,0,335,370
Total,20521,84,603,711,1581,8,410,23918
