,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.99,0.97,0.99,0.97,0.98,0.01,0.03
Shrubland,0.1,0.33,0.1,0.33,0.15,0.9,0.67
Wetland,0.58,0.22,0.58,0.22,0.31,0.42,0.78
Natural Grassland,0.55,0.61,0.55,0.61,0.58,0.45,0.39
Pastureland,0.62,0.89,0.62,0.89,0.74,0.38,0.11
Cropland,0.09,0.4,0.09,0.4,0.14,0.91,0.6
Water,0.91,0.83,0.91,0.83,0.86,0.09,0.17
