,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.99,0.97,0.01,0.03
Shrubland,0.1,0.33,0.9,0.67
Wetland,0.57,0.22,0.43,0.78
Natural Grassland,0.54,0.61,0.46,0.39
Pastureland,0.64,0.89,0.36,0.11
Cropland,0.05,0.33,0.95,0.67
Water,0.9,0.83,0.1,0.17
