,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19966,36,81,81,83,0,18,20265
Shrubland,89,31,72,104,13,0,3,312
Wetland,37,0,132,26,0,0,32,227
Natural Grassland,41,8,237,436,10,0,15,747
Pastureland,378,19,23,63,717,5,0,1205
Cropland,5,0,1,2,8,2,0,18
Water,18,0,15,4,1,0,303,341
Total,20534,94,561,716,832,7,371,23115
