,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.46,0.14,0.41,0.37,0.51,0.0,0.11
Shrubland,25.26,10.58,24.23,34.47,4.1,0.0,1.37
Wetland,14.04,1.75,52.19,10.53,0.44,0.0,21.05
Natural Grassland,5.96,1.04,32.64,56.61,1.04,0.0,2.72
Pastureland,19.53,0.94,1.51,2.85,74.97,0.12,0.08
Cropland,17.78,4.44,4.44,17.78,42.22,13.33,0.0
Water,4.53,0.0,2.4,1.33,0.53,0.0,91.2
