,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.52,0.18,0.4,0.4,0.41,0.0,0.09
Shrubland,28.53,9.94,23.08,33.33,4.17,0.0,0.96
Wetland,16.3,0.0,58.15,11.45,0.0,0.0,14.1
Natural Grassland,5.49,1.07,31.73,58.37,1.34,0.0,2.01
Pastureland,31.37,1.58,1.91,5.23,59.5,0.41,0.0
Cropland,27.78,0.0,5.56,11.11,44.44,11.11,0.0
Water,5.28,0.0,4.4,1.17,0.29,0.0,88.86
