,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.12,0.36,0.88,0.64
Wetland,0.62,0.24,0.38,0.76
Natural Grassland,0.57,0.6,0.43,0.4
Pastureland,0.81,0.92,0.19,0.08
Cropland,0.31,0.64,0.69,0.36
Water,0.91,0.91,0.09,0.09
