,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.18,0.12,0.45,0.38,0.82,0.01,0.05
Shrubland,23.57,11.43,23.21,35.36,6.43,0.0,0.0
Wetland,13.1,1.75,61.57,12.23,0.87,0.0,10.48
Natural Grassland,5.82,0.91,33.51,57.83,0.78,0.13,1.03
Pastureland,14.23,0.68,0.99,2.16,80.71,1.23,0.0
Cropland,7.95,0.66,2.65,7.28,40.4,41.06,0.0
Water,4.56,0.27,1.61,1.07,0.27,0.0,92.23
