,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,20004,28,90,77,114,0,22,20335
Shrubland,83,30,80,100,14,0,2,309
Wetland,37,0,123,31,0,0,39,230
Natural Grassland,48,9,237,457,6,0,26,783
Pastureland,507,25,29,65,1243,3,0,1872
Cropland,7,1,2,4,13,2,0,29
Water,19,0,12,3,1,0,330,365
Total,20705,93,573,737,1391,5,419,23923
