,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,20261,30,99,77,82,0,19,20568
Shrubland,87,31,76,102,18,0,0,314
Wetland,36,3,132,29,0,0,29,229
Natural Grassland,50,8,263,433,8,0,21,783
Pastureland,505,21,31,65,1038,3,1,1664
Cropland,4,0,2,2,13,2,0,23
Water,22,0,8,3,1,0,333,367
Total,20965,93,611,711,1160,5,403,23948
