,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.19,0.13,0.44,0.42,0.77,0.0,0.05
Shrubland,22.06,15.44,18.01,37.13,7.35,0.0,0.0
Wetland,14.35,3.04,57.39,14.78,0.43,0.43,9.57
Natural Grassland,5.43,1.46,28.48,63.05,1.06,0.0,0.53
Pastureland,11.92,0.63,0.48,2.2,83.09,1.65,0.03
Cropland,6.4,0.87,1.16,4.65,19.77,67.15,0.0
Water,4.22,0.26,2.37,0.79,0.53,0.0,91.82
