,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17865,24,78,78,137,0,9,18191
Shrubland,61,42,45,106,17,0,0,271
Wetland,32,6,128,42,1,0,21,230
Natural Grassland,41,11,202,488,7,0,4,753
Pastureland,416,25,17,79,2925,50,1,3513
Cropland,22,4,2,16,78,257,0,379
Water,20,1,11,3,2,0,343,380
Total,18457,113,483,812,3167,307,378,23717
