,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.37,0.13,0.4,0.38,0.61,0.0,0.11
Shrubland,24.32,10.96,24.66,34.25,5.14,0.0,0.68
Wetland,15.28,1.75,51.53,14.41,0.44,0.0,16.59
Natural Grassland,5.58,1.17,34.29,55.71,1.17,0.0,2.08
Pastureland,17.13,0.71,1.38,2.72,77.87,0.2,0.0
Cropland,12.73,3.64,3.64,14.55,50.91,14.55,0.0
Water,5.38,0.0,3.49,1.34,0.27,0.0,89.52
