,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.11,0.32,0.89,0.68
Wetland,0.52,0.21,0.48,0.79
Natural Grassland,0.57,0.61,0.43,0.39
Pastureland,0.75,0.93,0.25,0.07
Cropland,0.13,0.67,0.87,0.33
Water,0.91,0.78,0.09,0.22
