,classes,Total,Year
252,Pastureland,3576,2016
253,Cropland,427,2016
254,Water,379,2016
256,Forest,17805,2017
257,Shrubland,264,2017
258,Wetland,231,2017
259,Natural Grassland,708,2017
260,Pastureland,3610,2017
261,Cropland,448,2017
262,Water,384,2017
264,Forest,17200,2018
265,Shrubland,262,2018
266,Wetland,231,2018
267,Natural Grassland,647,2018
268,Pastureland,3674,2018
269,Cropland,460,2018
270,Water,381,2018
272,Forest,17588,2019
273,Shrubland,265,2019
274,Wetland,257,2019
275,Natural Grassland,648,2019
276,Pastureland,3479,2019
277,Cropland,519,2019
278,Water,401,2019
280,Forest,17687,2020
281,Shrubland,265,2020
282,Wetland,266,2020
283,Natural Grassland,656,2020
284,Pastureland,3514,2020
285,Cropland,540,2020
286,Water,404,2020
288,Forest,16733,2021
289,Shrubland,265,2021
290,Wetland,253,2021
291,Natural Grassland,635,2021
292,Pastureland,3494,2021
293,Cropland,553,2021
294,Water,392,2021
