,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,97.61,0.14,0.46,0.47,1.27,0.01,0.03
Shrubland,22.26,11.7,20.0,38.87,7.17,0.0,0.0
Wetland,12.41,3.38,63.91,15.04,1.88,0.0,3.38
Natural Grassland,4.57,1.22,26.37,66.62,1.22,0.0,0.0
Pastureland,8.85,0.71,0.46,2.7,86.06,1.2,0.03
Cropland,5.0,0.37,0.74,3.89,29.44,60.56,0.0
Water,5.2,0.25,4.21,1.24,0.5,0.0,88.61
