,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.34,0.11,0.42,0.44,0.65,0.0,0.03
Shrubland,23.28,13.36,18.32,38.93,6.11,0.0,0.0
Wetland,14.72,3.03,58.44,16.02,1.3,0.0,6.49
Natural Grassland,4.79,1.39,21.95,70.94,0.93,0.0,0.0
Pastureland,11.68,0.82,0.33,2.2,83.72,1.25,0.0
Cropland,4.78,0.22,0.22,4.13,22.61,68.04,0.0
Water,4.2,0.26,3.94,0.79,1.05,0.0,89.76
