,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.98,0.02,0.03
Shrubland,0.15,0.36,0.15,0.36,0.21,0.85,0.64
Wetland,0.55,0.27,0.55,0.27,0.36,0.45,0.73
Natural Grassland,0.66,0.6,0.66,0.6,0.63,0.34,0.4
Pastureland,0.84,0.92,0.84,0.92,0.88,0.16,0.08
Cropland,0.68,0.84,0.68,0.84,0.75,0.32,0.16
Water,0.91,0.93,0.91,0.93,0.92,0.09,0.07
