,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.99,0.97,0.99,0.97,0.98,0.01,0.03
Shrubland,0.11,0.34,0.11,0.34,0.16,0.89,0.66
Wetland,0.55,0.22,0.55,0.22,0.31,0.45,0.78
Natural Grassland,0.56,0.61,0.56,0.61,0.58,0.44,0.39
Pastureland,0.64,0.91,0.64,0.91,0.75,0.36,0.09
Cropland,0.08,0.33,0.08,0.33,0.13,0.92,0.67
Water,0.92,0.78,0.92,0.78,0.84,0.08,0.22
