,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.12,0.37,0.88,0.63
Wetland,0.62,0.23,0.38,0.77
Natural Grassland,0.55,0.59,0.45,0.41
Pastureland,0.83,0.93,0.17,0.07
Cropland,0.61,0.77,0.39,0.23
Water,0.91,0.88,0.09,0.12
