,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18020,19,88,76,153,0,9,18365
Shrubland,66,32,61,100,13,0,0,272
Wetland,34,5,142,23,0,1,24,229
Natural Grassland,43,8,272,420,6,0,10,759
Pastureland,407,21,37,72,2950,48,2,3537
Cropland,19,1,9,12,64,166,0,271
Water,18,1,6,6,1,0,342,374
Total,18607,87,615,709,3187,215,387,23807
