,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.1,0.33,0.1,0.33,0.16,0.9,0.67
Wetland,0.58,0.23,0.58,0.23,0.33,0.42,0.77
Natural Grassland,0.59,0.6,0.59,0.6,0.6,0.41,0.4
Pastureland,0.82,0.93,0.82,0.93,0.87,0.18,0.07
Cropland,0.53,0.72,0.53,0.72,0.61,0.47,0.28
Water,0.91,0.89,0.91,0.89,0.9,0.09,0.11
