,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.11,0.36,0.89,0.64
Wetland,0.62,0.24,0.38,0.76
Natural Grassland,0.58,0.61,0.42,0.39
Pastureland,0.81,0.92,0.19,0.08
Cropland,0.41,0.6,0.59,0.4
Water,0.92,0.89,0.08,0.11
