,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.51,0.16,0.42,0.38,0.42,0.0,0.1
Shrubland,28.71,10.09,22.4,33.44,4.73,0.0,0.63
Wetland,17.11,1.32,57.46,11.4,0.0,0.0,12.72
Natural Grassland,6.52,1.15,35.42,54.22,0.9,0.0,1.79
Pastureland,29.47,1.22,1.73,3.84,63.55,0.13,0.06
Cropland,23.81,0.0,9.52,9.52,52.38,4.76,0.0
Water,5.25,0.0,3.04,1.1,0.28,0.0,90.33
