,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.11,0.36,0.89,0.64
Wetland,0.49,0.2,0.51,0.8
Natural Grassland,0.55,0.6,0.45,0.4
Pastureland,0.8,0.91,0.2,0.09
Cropland,0.23,0.68,0.77,0.32
Water,0.92,0.77,0.08,0.23
