,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.21,0.13,0.43,0.43,0.75,0.0,0.05
Shrubland,22.51,15.5,16.61,39.11,6.27,0.0,0.0
Wetland,13.91,2.61,55.65,18.26,0.43,0.0,9.13
Natural Grassland,5.44,1.46,26.83,64.81,0.93,0.0,0.53
Pastureland,11.84,0.71,0.48,2.25,83.26,1.42,0.03
Cropland,5.8,1.06,0.53,4.22,20.58,67.81,0.0
Water,5.26,0.26,2.89,0.79,0.53,0.0,90.26
