,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18657,24,81,74,137,0,10,18983
Shrubland,68,35,61,103,16,0,0,283
Wetland,27,6,142,34,3,0,18,230
Natural Grassland,45,8,268,441,6,1,4,773
Pastureland,460,23,30,70,2515,20,1,3119
Cropland,12,1,3,10,59,38,0,123
Water,17,1,8,5,1,0,340,372
Total,19286,98,593,737,2737,59,373,23883
