,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.49,0.14,0.42,0.36,0.53,0.0,0.08
Shrubland,26.01,9.8,25.0,34.12,4.73,0.0,0.34
Wetland,15.65,0.43,52.61,13.04,1.3,0.0,16.96
Natural Grassland,6.16,0.9,33.89,55.84,0.64,0.0,2.57
Pastureland,22.73,1.02,1.73,2.93,71.33,0.22,0.04
Cropland,24.32,5.41,5.41,18.92,43.24,2.7,0.0
Water,5.41,0.0,2.7,1.08,0.0,0.0,90.81
