,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18296,41,78,78,82,0,14,18589
Shrubland,86,34,70,103,13,0,1,307
Wetland,39,0,129,42,0,0,21,231
Natural Grassland,43,10,177,436,11,0,14,691
Pastureland,336,18,21,62,600,6,0,1043
Cropland,5,0,1,1,8,1,0,16
Water,16,0,13,4,1,0,274,308
Total,18821,103,489,726,715,7,324,21185
