,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17970,24,80,77,141,0,10,18302
Shrubland,60,42,49,101,20,0,0,272
Wetland,33,7,132,34,1,1,22,230
Natural Grassland,41,11,215,476,8,0,4,755
Pastureland,418,22,17,77,2913,58,1,3506
Cropland,22,3,4,16,68,231,0,344
Water,16,1,9,3,2,0,348,379
Total,18560,110,506,784,3153,290,385,23788
