,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.12,0.37,0.88,0.63
Wetland,0.6,0.24,0.4,0.76
Natural Grassland,0.58,0.61,0.42,0.39
Pastureland,0.84,0.93,0.16,0.07
Cropland,0.62,0.78,0.38,0.22
Water,0.92,0.86,0.08,0.14
