,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.24,0.13,0.42,0.37,0.74,0.0,0.1
Shrubland,24.32,10.62,24.66,33.9,5.48,0.0,1.03
Wetland,13.97,1.31,49.34,13.1,0.44,0.0,21.83
Natural Grassland,5.35,1.04,34.29,54.63,1.04,0.0,3.65
Pastureland,15.47,0.64,1.25,2.5,79.83,0.27,0.04
Cropland,14.06,3.12,3.12,12.5,43.75,23.44,0.0
Water,4.55,0.0,1.87,0.8,0.53,0.0,92.25
