,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.99,0.97,0.99,0.97,0.98,0.01,0.03
Shrubland,0.1,0.31,0.1,0.31,0.15,0.9,0.69
Wetland,0.53,0.21,0.53,0.21,0.3,0.47,0.79
Natural Grassland,0.56,0.61,0.56,0.61,0.58,0.44,0.39
Pastureland,0.61,0.9,0.61,0.9,0.73,0.39,0.1
Cropland,0.1,0.4,0.1,0.4,0.16,0.9,0.6
Water,0.91,0.82,0.91,0.82,0.86,0.09,0.18
