,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.45,0.14,0.43,0.37,0.5,0.0,0.1
Shrubland,25.99,9.21,26.32,32.24,4.93,0.0,1.32
Wetland,16.52,0.0,53.04,13.04,0.0,0.0,17.39
Natural Grassland,6.15,0.9,32.56,56.67,0.64,0.0,3.08
Pastureland,26.54,1.1,1.65,3.15,67.47,0.05,0.05
Cropland,20.0,3.33,6.67,13.33,50.0,6.67,0.0
Water,5.14,0.0,2.43,1.35,0.0,0.0,91.08
