,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.26,0.11,0.46,0.38,0.73,0.0,0.05
Shrubland,23.83,10.47,24.19,35.74,5.42,0.36,0.0
Wetland,15.72,1.75,57.64,14.41,0.87,0.0,9.61
Natural Grassland,5.62,0.92,32.42,58.82,0.92,0.0,1.31
Pastureland,12.9,0.7,0.76,2.06,82.45,1.1,0.03
Cropland,7.61,0.54,2.72,7.61,28.26,53.26,0.0
Water,4.0,0.27,2.4,1.6,0.27,0.0,91.47
