,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.99,0.97,0.01,0.03
Shrubland,0.1,0.33,0.9,0.67
Wetland,0.58,0.24,0.42,0.76
Natural Grassland,0.58,0.61,0.42,0.39
Pastureland,0.6,0.86,0.4,0.14
Cropland,0.11,0.29,0.89,0.71
Water,0.89,0.82,0.11,0.18
